Год;Месяц;День;НомерЧека;Наименование;Количество
2017;9;1;5 139;Дневники;1
2017;9;1;5 091;Дневники;1
2017;9;1;5 084;Дневники;1
2017;9;1;5 122;Дневники;1
2017;9;1;5 125;Дневники;1
2017;9;1;5 138;Дневники;1
2017;9;1;5 105;Доски маркерные, флипчарты, губки, магниты;1
2017;9;1;5 088;Закладки, карточки, линейки;1
2017;9;1;5 093;Закладки, карточки, линейки;1
2017;9;1;5 077;Закладки, карточки, линейки;1
2017;9;1;5 107;Закладки, карточки, линейки;1
2017;9;1;5 097;Инвентарь для лепки и рисования;1
2017;9;1;5 080;Инвентарь для лепки и рисования;1
2017;9;1;5 121;Инвентарь для лепки и рисования;1
2017;9;1;5 112;Инвентарь для лепки и рисования;1
2017;9;1;5 079;Инвентарь для лепки и рисования;1
2017;9;1;5 088;Инвентарь для лепки и рисования;1
2017;9;1;5 093;Инвентарь для лепки и рисования;1
2017;9;1;5 080;Карандаши цветные;1
2017;9;1;5 104;Карандаши цветные;1
2017;9;1;5 112;Карандаши цветные;1
2017;9;1;5 088;Карандаши цветные;1
2017;9;1;5 131;Карандаши цветные;1
2017;9;1;5 082;Карандаши цветные;1
2017;9;1;5 102;Карандаши цветные;1
2017;9;1;5 121;Карандаши цветные;1
2017;9;1;5 093;Карандаши цветные;1
2017;9;1;5 116;Карандаши цветные;1
2017;9;1;5 132;Карандаши чернографитные;1
2017;9;1;5 080;Карандаши чернографитные;1
2017;9;1;5 115;Карандаши чернографитные;1
2017;9;1;5 093;Карандаши чернографитные;1
2017;9;1;5 121;Карандаши чернографитные;1
2017;9;1;5 097;Карандаши чернографитные;1
2017;9;1;5 079;Карандаши чернографитные;1
2017;9;1;5 082;Карандаши чернографитные;1
2017;9;1;5 084;Карандаши чернографитные;1
2017;9;1;5 101;Карандаши чернографитные;1
2017;9;1;5 102;Карандаши чернографитные;1
2017;9;1;5 112;Карандаши чернографитные;1
2017;9;1;5 131;Карандаши чернографитные;1
2017;9;1;5 088;Кисти;1
2017;9;1;5 082;Кисти;1
2017;9;1;5 115;Кисти;1
2017;9;1;5 080;Кисти;1
2017;9;1;5 079;Кисти;1
2017;9;1;5 131;Кисти;1
2017;9;1;5 079;Клей;1
2017;9;1;5 093;Клей;1
2017;9;1;5 080;Клей;1
2017;9;1;5 131;Клей;1
2017;9;1;5 082;Клей;1
2017;9;1;5 115;Клей;1
2017;9;1;5 121;Книги для записи;1
2017;9;1;5 123;Книги для записи;1
2017;9;1;5 110;Конверты;1
2017;9;1;5 105;Конверты;1
2017;9;1;5 102;Корректирующие средства;1
2017;9;1;5 138;Корректирующие средства;1
2017;9;1;5 079;Краски;1
2017;9;1;5 088;Краски;1
2017;9;1;5 093;Краски;1
2017;9;1;5 112;Краски;1
2017;9;1;5 116;Краски;1
2017;9;1;5 121;Краски;1
2017;9;1;5 080;Краски;1
2017;9;1;5 107;Краски;1
2017;9;1;5 082;Краски;1
2017;9;1;5 115;Краски;1
2017;9;1;5 104;Краски;1
2017;9;1;5 102;Краски;1
2017;9;1;5 073;Краски;1
2017;9;1;5 131;Краски;1
2017;9;1;5 139;Краски;1
2017;9;1;5 117;Ластики;1
2017;9;1;5 121;Ластики;1
2017;9;1;5 130;Ластики;1
2017;9;1;5 131;Ластики;1
2017;9;1;5 081;Ластики;1
2017;9;1;5 082;Ластики;1
2017;9;1;5 084;Ластики;1
2017;9;1;5 097;Ластики;1
2017;9;1;5 080;Ластики;1
2017;9;1;5 115;Ластики;1
2017;9;1;5 124;Ластики;1
2017;9;1;5 072;Ластики;1
2017;9;1;5 093;Ластики;1
2017;9;1;5 102;Ластики;1
2017;9;1;5 135;Ластики;1
2017;9;1;5 138;Ластики;1
2017;9;1;5 139;Ластики;1
2017;9;1;5 079;Линейки;1
2017;9;1;5 131;Линейки;1
2017;9;1;5 102;Линейки;1
2017;9;1;5 080;Линейки;1
2017;9;1;5 093;Линейки;1
2017;9;1;5 112;Линейки;1
2017;9;1;5 116;Линейки;1
2017;9;1;5 081;Линейки;1
2017;9;1;5 082;Линейки;1
2017;9;1;5 084;Линейки;1
2017;9;1;5 124;Линейки;1
2017;9;1;5 088;Линейки;1
2017;9;1;5 097;Линейки;1
2017;9;1;5 121;Линейки;1
2017;9;1;5 135;Линейки;1
2017;9;1;5 080;Маркеры;1
2017;9;1;5 098;Маркеры;1
2017;9;1;5 105;Маркеры;1
2017;9;1;5 114;Маркеры;1
2017;9;1;5 079;Мелки;1
2017;9;1;5 104;Наборы для творчества;1
2017;9;1;5 097;Наглядные пособия;1
2017;9;1;5 095;Наглядные пособия;1
2017;9;1;5 080;Наглядные пособия;1
2017;9;1;5 082;Наглядные пособия;1
2017;9;1;5 101;Наглядные пособия;1
2017;9;1;5 098;Наклейки;1
2017;9;1;5 098;Наклейки confetti;1
2017;9;1;5 088;Наклейки confetti;1
2017;9;1;5 117;Наклейки confetti;1
2017;9;1;5 097;Ножницы, ножи канц.;1
2017;9;1;5 093;Ножницы, ножи канц.;1
2017;9;1;5 115;Ножницы, ножи канц.;1
2017;9;1;5 080;Ножницы, ножи канц.;1
2017;9;1;5 116;Ножницы, ножи канц.;1
2017;9;1;5 121;Ножницы, ножи канц.;1
2017;9;1;5 084;Обложки;1
2017;9;1;5 106;Обложки;1
2017;9;1;5 075;Обложки;1
2017;9;1;5 109;Обложки;1
2017;9;1;5 083;Обложки;1
2017;9;1;5 121;Обложки;1
2017;9;1;5 135;Обложки;1
2017;9;1;5 093;Обложки;1
2017;9;1;5 126;Обложки;1
2017;9;1;5 077;Открытки*;1
2017;9;1;5 121;Пакеты;1
2017;9;1;5 129;Пакеты, сумки;1
2017;9;1;5 096;Пакеты, сумки;1
2017;9;1;5 120;Пакеты, сумки;1
2017;9;1;5 121;Папки д/тетр., рис., нот, труда;1
2017;9;1;5 115;Папки д/тетр., рис., нот, труда;1
2017;9;1;5 080;Папки на резинке, с завязками;1
2017;9;1;5 110;Папки с зажимом, на кольцах;1
2017;9;1;5 080;Папки с файлами;1
2017;9;1;5 080;Папки-конверты, папки с кнопками, уголки;1
2017;9;1;5 115;Пеналы, тубусы;1
2017;9;1;5 080;Пластилин;1
2017;9;1;5 104;Пластилин;1
2017;9;1;5 115;Пластилин;1
2017;9;1;5 082;Пластилин;1
2017;9;1;5 079;Пластилин;1
2017;9;1;5 093;Пластилин;1
2017;9;1;5 121;Пластилин;1
2017;9;1;5 131;Пластилин;1
2017;9;1;5 095;Подставки, держатели;1
2017;9;1;5 080;Подставки, держатели;1
2017;9;1;5 093;Подставки, держатели;1
2017;9;1;5 101;Расписание уроков;1
2017;9;1;5 078;Резинки для денег, увлажнители;1
2017;9;1;5 124;Ручки, наборы ручек, стержни;1
2017;9;1;5 082;Ручки, наборы ручек, стержни;1
